"Community","Perspective_Insult","probability_of_user_finding_comment_sexist"
"A",0.01,0.523894237365512
"A",0.02,0.52889398761778
"A",0.03,0.533887947004012
"A",0.04,0.538875123191801
"A",0.05,0.543854529266448
"A",0.06,0.548825184505607
"A",0.07,0.55378611514348
"A",0.08,0.558736355123305
"A",0.09,0.563674946836933
"A",0.1,0.568600941850309
"A",0.11,0.573513401613715
"A",0.12,0.578411398155684
"A",0.13,0.583294014759535
"A",0.14,0.588160346621518
"A",0.15,0.59300950148963
"A",0.16,0.5978406002822
"A",0.17,0.602652777685394
"A",0.18,0.607445182728865
"A",0.19,0.612216979338807
"A",0.2,0.616967346867757
"A",0.21,0.621695480600533
"A",0.22,0.626400592235755
"A",0.23,0.631081910342473
"A",0.24,0.635738680791481
"A",0.25,0.640370167160952
"A",0.26,0.644975651116093
"A",0.27,0.649554432762598
"A",0.28,0.654105830973719
"A",0.29,0.658629183690834
"A",0.3,0.663123848197472
"A",0.31,0.667589201366799
"A",0.32,0.672024639882612
"A",0.33,0.676429580433991
"A",0.34,0.680803459883748
"A",0.35,0.685145735410923
"A",0.36,0.689455884627603
"A",0.37,0.693733405670369
"A",0.38,0.69797781726677
"A",0.39,0.702188658777222
"A",0.4,0.706365490212795
"A",0.41,0.710507892229391
"A",0.42,0.714615466098843
"A",0.43,0.7186878336575
"A",0.44,0.722724637232917
"A",0.45,0.726725539549255
"A",0.46,0.73069022361208
"A",0.47,0.734618392573216
"A",0.48,0.738509769576373
"A",0.49,0.742364097584268
"A",0.5,0.746181139187985
"A",0.51,0.749960676399317
"A",0.52,0.753702510426871
"A",0.53,0.7574064614367
"A",0.54,0.761072368298255
"A",0.55,0.764700088316438
"A",0.56,0.768289496950547
"A",0.57,0.771840487520911
"A",0.58,0.775352970903997
"A",0.59,0.778826875216776
"A",0.6,0.782262145491136
"A",0.61,0.785658743339108
"A",0.62,0.789016646609673
"A",0.63,0.792335849037909
"A",0.64,0.795616359887209
"A",0.65,0.79885820358532
"A",0.66,0.802061419354901
"A",0.67,0.805226060839301
"A",0.68,0.808352195724263
"A",0.69,0.811439905356182
"A",0.7,0.814489284357606
"A",0.71,0.817500440240574
"A",0.72,0.820473493018424
"A",0.73,0.82340857481664
"A",0.74,0.826305829483326
"A",0.75,0.829165412199828
"A",0.76,0.831987489092053
"A",0.77,0.834772236842967
"A",0.78,0.837519842306767
"A",0.79,0.84023050212517
"A",0.8,0.842904422346269
"A",0.81,0.845541818046359
"A",0.82,0.848142912955127
"A",0.83,0.850707939084579
"A",0.84,0.853237136362038
"A",0.85,0.855730752267559
"A",0.86,0.858189041476041
"A",0.87,0.860612265504346
"A",0.88,0.863000692363658
"A",0.89,0.865354596217353
"A",0.9,0.867674257044581
"A",0.91,0.869959960309777
"A",0.92,0.872211996638275
"A",0.93,0.874430661498208
"A",0.94,0.87661625488882
"A",0.95,0.878769081035344
"A",0.96,0.880889448090545
"A",0.97,0.882977667843041
"A",0.98,0.885034055432473
"A",0.99,0.887058929071602
"C",0.01,0.239321058037134
"C",0.02,0.242991074033915
"C",0.03,0.246699117697335
"C",0.04,0.25044502589288
"C",0.05,0.254228616754562
"C",0.06,0.25804968943242
"C",0.07,0.261908023854779
"C",0.08,0.26580338050607
"C",0.09,0.269735500220971
"C",0.1,0.273704103995646
"C",0.11,0.277708892816825
"C",0.12,0.281749547509469
"C",0.13,0.285825728603745
"C",0.14,0.289937076222009
"C",0.15,0.29408320998647
"C",0.16,0.298263728948217
"C",0.17,0.302478211538195
"C",0.18,0.306726215540771
"C",0.19,0.311007278090433
"C",0.2,0.315320915692147
"C",0.21,0.319666624265893
"C",0.22,0.324043879215805
"C",0.23,0.328452135524342
"C",0.24,0.332890827871857
"C",0.25,0.33735937078188
"C",0.26,0.341857158792384
"C",0.27,0.346383566653266
"C",0.28,0.350937949550198
"C",0.29,0.355519643354968
"C",0.3,0.360127964902366
"C",0.31,0.364762212293621
"C",0.32,0.369421665226316
"C",0.33,0.374105585350676
"C",0.34,0.37881321665204
"C",0.35,0.38354378585928
"C",0.36,0.38829650287886
"C",0.37,0.393070561254168
"C",0.38,0.3978651386497
"C",0.39,0.402679397359594
"C",0.4,0.40751248483997
"C",0.41,0.412363534264455
"C",0.42,0.417231665102222
"C",0.43,0.422115983717812
"C",0.44,0.427015583991938
"C",0.45,0.43192954796243
"C",0.46,0.436856946484408
"C",0.47,0.441796839908745
"C",0.48,0.446748278777787
"C",0.49,0.451710304537295
"C",0.5,0.456681950263503
"C",0.51,0.46166224140414
"C",0.52,0.466650196532246
"C",0.53,0.471644828111549
"C",0.54,0.47664514327216
"C",0.55,0.481650144595296
"C",0.56,0.486658830905728
"C",0.57,0.491670198070617
"C",0.58,0.496683239803385
"C",0.59,0.501696948471271
"C",0.6,0.506710315905174
"C",0.61,0.511722334210423
"C",0.62,0.516731996577069
"C",0.63,0.52173829808833
"C",0.64,0.526740236525807
"C",0.65,0.531736813170089
"C",0.66,0.536727033595415
"C",0.67,0.541709908457038
"C",0.68,0.546684454269975
"C",0.69,0.551649694177859
"C",0.7,0.556604658710622
"C",0.71,0.561548386529788
"C",0.72,0.566479925160163
"C",0.73,0.571398331706785
"C",0.74,0.576302673556005
"C",0.75,0.581192029059636
"C",0.76,0.586065488201142
"C",0.77,0.590922153242896
"C",0.78,0.595761139353591
"C",0.79,0.600581575214926
"C",0.8,0.605382603606765
"C",0.81,0.610163381970016
"C",0.82,0.614923082946529
"C",0.83,0.61966089489539
"C",0.84,0.62437602238502
"C",0.85,0.629067686660592
"C",0.86,0.633735126086299
"C",0.87,0.638377596562089
"C",0.88,0.642994371914553
"C",0.89,0.647584744261691
"C",0.9,0.65214802435137
"C",0.91,0.656683541873321
"C",0.92,0.661190645744602
"C",0.93,0.66566870436852
"C",0.94,0.670117105867026
"C",0.95,0.674535258286698
"C",0.96,0.678922589778462
"C",0.97,0.683278548751233
"C",0.98,0.687602603999769
"C",0.99,0.691894244806998
"B",0.01,0.312241819570822
"B",0.02,0.316564712813334
"B",0.03,0.320919528583779
"B",0.04,0.325305736415294
"B",0.05,0.329722785451039
"B",0.06,0.334170104571114
"B",0.07,0.338647102545273
"B",0.08,0.343153168211695
"B",0.09,0.347687670682015
"B",0.1,0.352249959572766
"B",0.11,0.356839365263339
"B",0.12,0.361455199180485
"B",0.13,0.366096754109363
"B",0.14,0.370763304531037
"B",0.15,0.375454106986297
"B",0.16,0.380168400465608
"B",0.17,0.384905406824914
"B",0.18,0.389664331226999
"B",0.19,0.394444362607989
"B",0.2,0.39924467416858
"B",0.21,0.404064423889463
"B",0.22,0.408902755070382
"B",0.23,0.41375879689219
"B",0.24,0.41863166500122
"B",0.25,0.423520462115209
"B",0.26,0.428424278649971
"B",0.27,0.433342193365953
"B",0.28,0.438273274033764
"B",0.29,0.443216578117686
"B",0.3,0.448171153476165
"B",0.31,0.453136039078203
"B",0.32,0.458110265734542
"B",0.33,0.463092856842483
"B",0.34,0.468082829143138
"B",0.35,0.47307919348991
"B",0.36,0.478080955626899
"B",0.37,0.483087116975986
"B",0.38,0.488096675431243
"B",0.39,0.49310862615936
"B",0.4,0.49812196240471
"B",0.41,0.503135676297702
"B",0.42,0.508148759665033
"B",0.43,0.513160204840463
"B",0.44,0.518169005474718
"B",0.45,0.523174157343147
"B",0.46,0.528174659149755
"B",0.47,0.533169513326247
"B",0.48,0.538157726824721
"B",0.49,0.543138311902701
"B",0.5,0.548110286899176
"B",0.51,0.553072677000374
"B",0.52,0.558024514994017
"B",0.53,0.562964842010824
"B",0.54,0.567892708252098
"B",0.55,0.572807173702225
"B",0.56,0.57770730882501
"B",0.57,0.582592195242769
"B",0.58,0.587460926397188
"B",0.59,0.592312608190978
"B",0.6,0.597146359609417
"B",0.61,0.601961313320948
"B",0.62,0.606756616256016
"B",0.63,0.611531430163418
"B",0.64,0.616284932143493
"B",0.65,0.621016315157527
"B",0.66,0.625724788512822
"B",0.67,0.630409578322933
"B",0.68,0.635069927942652
"B",0.69,0.639705098377353
"B",0.7,0.64431436866641
"B",0.71,0.64889703624043
"B",0.72,0.653452417252128
"B",0.73,0.657979846880719
"B",0.74,0.662478679609759
"B",0.75,0.666948289478454
"B",0.76,0.671388070306459
"B",0.77,0.675797435892308
"B",0.78,0.68017582018563
"B",0.79,0.684522677433359
"B",0.8,0.688837482300231
"B",0.81,0.693119729963864
"B",0.82,0.697368936184797
"B",0.83,0.701584637351902
"B",0.84,0.705766390503615
"B",0.85,0.709913773325473
"B",0.86,0.714026384124505
"B",0.87,0.718103841781024
"B",0.88,0.722145785678423
"B",0.89,0.726151875611606
"B",0.9,0.730121791674709
"B",0.91,0.734055234128778
"B",0.92,0.737951923250123
"B",0.93,0.741811599160061
"B",0.94,0.745634021636779
"B",0.95,0.749418969910081
"B",0.96,0.753166242439788
"B",0.97,0.75687565667854
"B",0.98,0.760547048819821
"B",0.99,0.764180273531958
